DATE,Item ,"UNIT (box, sleeve, etc)",Quantity in store,,,Price purchased,Price sold,Supplier,Quantity in warehouse,
,Moroccan Mint,bag,0,,,,,,,
,Jasmine,bag,1.5,,,,,,,
,"Chai, caffeine free",bag,1,,,,,,,
,Chamomint,bag,0.75,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,0.25,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Cane Sugar Bulk,Bag,0.5,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,0.5,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,16,,,,,,,
,Cold 12-14 oz Cups,Sleeve,19,,,,,,,
,Cold Lids,box,15,,,,,,,
,Hot 12 oz Cups,sleeve,9,,,,,,,
,Hot 12-24oz Lids,sleeve,3,,,,,,,
,Hot 8oz Cups,sleeve,13,,,,,,,
,Hot 8oz Lids,Sleeve,2,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,13,,,,,,,
,San Pellegrino Cans,Cans,28,,,,,,,
,Fiji Small,Bottles,26,,,,,,,
,Fiji Large,individual,1,,,,,,,
,Lychee Soda,can,33,,,,,,,
,Lychee,can,17,,,,,,,
,Yuzu Ginger Soda,can,0,,,,,,,
,Hibiscus Rose Soda,can,18,,,,,,,
,Cucumber Soda,can,24,,,,,,,
,Gato Pistachios,,0,,,,,,,
,Gato Walnut,,12,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,5,,,,,,,
,Macaroon,individual,18,,,,,,,
,Chia - strawberry,,,,,,,,,
,Chia- tramisu,,,,,,,,,
,Chia- passion fruit,,,,,,,,,
,Chia- blue,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0.25,,,,,,,
,Chocolate ,,5,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,6,,,,,,,
,Cucumber,,3,,,,,,,
,Tomato,grapevine ,6 tomatoes ,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,2,,,,,,,
,Peanut Butter,64oz,2.5,,,,,,,
,Bread,Loaf,0.25,,,,,,,
,Lemon Juice,bottle,0.75,,,,,,,
,Hot sauce,,3,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,5,,,,,,,
,Gloves M,Box,1,,,,,,,
,Gloves Large,Box,2,,,,,,,
,Handsoap,Gallon,1/2,,,,,,,
,Bleach,Gallon,2,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,2,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,3,,,,,,,
,Grindz,,5,,,,,,,
,Pink Sanitizer,,0.25,,,,,,,
,Thieves Solution,,1/2,,,,,,,
,Detergent,,,,,,,,,
,3 fold napkins,roll,10,,,,,,,
,Paper Towel,roll,3,,,,,,,
,Toilet Paper,roll,110,,,,,,,
,Toilet seat cover,box,5,,,,,,,
,Fabreez,,0,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,148,,,,,,,
,Plastic knives,Box,1,,,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,1/2,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,bag,1/2,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,0.5,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,0.5,,,,,,,
,Shanta,,0.15,,,,,,,
,Manos,,1 bags,,,,,,,
,Decaf,,2 bags,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
4/27/25,MILKS,,,,,,,,,
,Whole Milk,,4,,,,,,,
,Low-Fat,,8,,,,,,,
,Half n Half,,1,,x,,,,,
,Heavy Cream,,OUT,,x,,,,,
,Oat,,OUT,,x,,,,,
,Almond,,52,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,3,,,,,,,
,Homemade Vanilla,bottle,6,,,,,,,
,Vanilla Creme,bottle,1,,x,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,2,,x,,,,,
,Pistachio,bottle,2.3,,,,,,,
,Vanilla ,bottle,2.5,,,,,,,
,Sugar Free Vanilla,bottle,1.5,,,,,,,
,Honey,Bottle,OUT,,x,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,1,,,,,,,
,Gingerbread,bottle,,,,,,,,
,Chocolate,,,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1.25,,,,,,,
,Chai Masala,bottle,5,,,,,,,
,Turmeric Ginger,carton,1.5,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,x,,,,,
,Pineapple Papaya,bag,0.25,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,1.5,,,,,,,
,"Chai, caffeine free",bag,1,,,,,,,
,Chamomint,bag,1.5,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1.25,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Cane Sugar Bulk,Bag,0.5,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,OUT,,x,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,11,,,,,,,
,Cold 12-14 oz Cups,Sleeve,19,,,,,,,
,Cold Lids,box,13,,,,,,,
,Hot 12 oz Cups,sleeve,10,,,,,,,
,Hot 12-24oz Lids,sleeve,2,,,,,,,
,Hot 8oz Cups,sleeve,21,,,,,,,
,Hot 8oz Lids,Sleeve,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,13,,,,,,,
,San Pellegrino Cans,Cans,34,,,,,,,
,Fiji Small,Bottles,23,,,,,,,
,Fiji Large,individual,10,,,,,,,
,Lychee Soda,can,26,,,,,,,
,Lychee,12-pack,,,,,,,,
,Yuzu Ginger Soda,can,0,,x,,,,,
,Hibiscus Rose Soda,can,15,,,,,,,
,Cucumber Soda,can,14,,,,,,,
,Gato Pistachios,,0,,x,,,,,
,Gato Walnut,,15,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,5,,,,,,,
,Macaroon,individual,13,,,,,,,
,Chia - strawberry,,,,,,,,,
,Chia- tramisu,,,,,,,,,
,Chia- passion fruit,,,,,,,,,
,Chia- blue,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0.25,,,,,,,
,Chocolate ,,5,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,6,,,,,,,
,Cucumber,,3,,,,,,,
,Tomato,grapevine ,6 tomatoes ,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,2,,,,,,,
,Peanut Butter,64oz,2.5,,,,,,,
,Bread,Loaf,0.25,,,,,,,
,Lemon Juice,bottle,0.75,,,,,,,
,Hot sauce,,3,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,5,,,,,,,
,Gloves M,Box,1,,,,,,,
,Gloves Large,Box,4,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,2,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,2,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,4,,,,,,,
,Grindz,,5,,,,,,,
,Pink Sanitizer,,0.25,,x,,,,,
,Thieves Solution,,1/2,,,,,,,
,Detergent,,,,,,,,,
,3 fold napkins,roll,10,,,,,,,
,Paper Towel,roll,OUT,,,,,,,
,Toilet Paper,roll,110,,,,,,,
,Toilet seat cover,box,5,,,,,,,
,Febreze,,OUT,,x,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,148,,,,,,,
,Plastic knives,Box,LOW,,x,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,1/2,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,bag,1/2,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,LOW,,x,,,,,
,Stickers,roll,0.5,,x,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,0.5,,x,,,,,
,Shanta,,0.15,,x,,,,,
,Manos,,1 bags,,,,,,,
,Decaf,,2 bags,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
4/29/25,MILKS,,,,,,,,,
,Whole Milk,,6,,,,,,,
,Low-Fat,,11,,,,,,,
,Half n Half,,4,,x,,,,,
,Heavy Cream,,OUT,,x,,,,,
,Oat,,25,,x,,,,,
,Almond,,54,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,3,,,,,,,
,Homemade Vanilla,bottle,6,,,,,,,
,Vanilla Creme,bottle,1,,x,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,2,,x,,,,,
,Pistachio,bottle,2.3,,,,,,,
,Vanilla ,bottle,2.5,,,,,,,
,Sugar Free Vanilla,bottle,1.5,,,,,,,
,Honey,Bottle,5,,x,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,1,,,,,,,
,Gingerbread,bottle,,,,,,,,
,Chocolate,,,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,,,,,,
,Chai Masala,bottle,4,,,,,,,
,Turmeric Ginger,carton,21,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,x,,,,,
,Pineapple Papaya,bag,0.25,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,1.5,,,,,,,
,"Chai, caffeine free",bag,1,,,,,,,
,Chamomint,bag,1.5,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1.25,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Cane Sugar Bulk,Bag,0.5,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,OUT,,x,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,11,,,,,,,
,Cold 12-14 oz Cups,Sleeve,28,,,,,,,
,Cold Lids,box,14,,,,,,,
,Hot 12 oz Cups,sleeve,8,,,,,,,
,Hot 12-24oz Lids,sleeve,13,,,,,,,
,Hot 8oz Cups,sleeve,20,,,,,,,
,Hot 8oz Lids,Sleeve,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,13,,,,,,,
,San Pellegrino Cans,Cans,24,,,,,,,
,Fiji Small,Bottles,20,,,,,,,
,Fiji Large,individual,1,,,,,,,
,Lychee Soda,can,26,,,,,,,
,Lychee,12-pack,,,,,,,,
,Yuzu Ginger Soda,can,0,,x,,,,,
,Hibiscus Rose Soda,can,15,,,,,,,
,Cucumber Soda,can,23,,,,,,,
,Gato Pistachios,,0,,x,,,,,
,Gato Walnut,,13,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,5,,,,,,,
,Macaroon,individual,10,,,,,,,
,Chia - strawberry,,,,,,,,,
,Chia- tramisu,,,,,,,,,
,Chia- passion fruit,,,,,,,,,
,Chia- blue,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0.25,,,,,,,
,Chocolate ,,5,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,6,,,,,,,
,Cucumber,,3,,,,,,,
,Tomato,,6,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,2,,,,,,,
,Peanut Butter,64oz,2.5,,,,,,,
,Bread,Loaf,0.25,,,,,,,
,Lemon Juice,bottle,0.75,,,,,,,
,Hot sauce,,3,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,5,,,,,,,
,Gloves M,Box,1,,,,,,,
,Gloves Large,Box,4,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,2,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,2,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,4,,,,,,,
,Grindz,,5,,,,,,,
,Pink Sanitizer,,0.25,,x,,,,,
,Thieves Solution,,1/2,,,,,,,
,Detergent,,,,,,,,,
,3 fold napkins,roll,7,,,,,,,
,Paper Towel,roll,OUT,,,,,,,
,Toilet Paper,roll,48,,,,,,,
,Toilet seat cover,box,5,,,,,,,
,Febreze,,OUT,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,148,,,,,,,
,Plastic knives,Box,LOW,,,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,1/2,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,bag,1/2,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,LOW,,x,,,,,
,Stickers,roll,0.5,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,0.5,,x,,,,,
,Shanta,,0.15,,x,,,,,
,Manos,,1 bags,,,,,,,
,Decaf,,2 bags,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
,,,,,,,,,,
4/30/25,MILKS,,,,,,,,,
,Whole Milk,,7,,,,,,,
,Low-Fat,,10,,,,,,,
,Half n Half,,4,,,,,,,
,Heavy Cream,,OUT,,,,,,,
,Oat,,17,,,,,,,
,Almond,,42,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,3.5,,,,,,,
,Vanilla Creme,bottle,0,,,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,1,,,,,,,
,Pistachio,bottle,2.3,,,,,,,
,Vanilla ,bottle,2.5,,,,,,,
,Sugar Free Vanilla,bottle,1.5,,,,,,,
,Honey,Bottle,5,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,1,,,,,,,
,Gingerbread,bottle,,,,,,,,
,Chocolate,,,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,,,,,,
,Chai Masala,bottle,4,,,,,,,
,Turmeric Ginger,carton,21,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,0.25,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,1.5,,,,,,,
,"Chai, caffeine free",bag,1,,,,,,,
,Chamomint,bag,1.5,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1.25,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Cane Sugar Bulk,Bag,0.5,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,OUT,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,11,,,,,,,
,Cold 12-14 oz Cups,Sleeve,28,,,,,,,
,Cold Lids,Sleeve,13,,,,,,,
,Hot 12 oz Cups,sleeve,8,,,,,,,
,Hot 12-24oz Lids,sleeve,13,,,,,,,
,Hot 8oz Cups,sleeve,20,,,,,,,
,Hot 8oz Lids,Sleeve,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,13,,,,,,,
,San Pellegrino Cans,Cans,24,,,,,,,
,Fiji Small,Bottles,20,,,,,,,
,Fiji Large,individual,1,,,,,,,
,Lychee Soda,can,26,,,,,,,
,Lychee,12-pack,,,,,,,,
,Yuzu Ginger Soda,can,0,,,,,,,
,Hibiscus Rose Soda,can,15,,,,,,,
,Cucumber Soda,can,23,,,,,,,
,Gato Pistachios,,0,,,,,,,
,Gato Walnut,,13,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,5,,,,,,,
,Macaroon,individual,10,,,,,,,
,Chia - strawberry,,,,,,,,,
,Chia- tramisu,,,,,,,,,
,Chia- passion fruit,,,,,,,,,
,Chia- blue,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0.25,,,,,,,
,Chocolate ,,5,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,6,,,,,,,
,Cucumber,,3,,,,,,,
,Tomato,,6,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,2,,,,,,,
,Peanut Butter,64oz,2.5,,,,,,,
,Bread,Loaf,0.25,,,,,,,
,Lemon Juice,bottle,0.75,,,,,,,
,Hot sauce,,3,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,5,,,,,,,
,Gloves M,Box,1,,,,,,,
,Gloves Large,Box,4,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,2,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,2,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,4,,,,,,,
,Grindz,,5,,,,,,,
,Pink Sanitizer,,0.25,,,,,,,
,Thieves Solution,,1/2,,,,,,,
,Detergent,,,,,,,,,
,3 fold napkins,roll,7,,,,,,,
,Paper Towel,roll,OUT,,,,,,,
,Toilet Paper,roll,48,,,,,,,
,Toilet seat cover,box,5,,,,,,,
,Febreze,,OUT,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,148,,,,,,,
,Plastic knives,Box,LOW,,,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,1/2,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,bag,1/2,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,LOW,,,,,,,
,Stickers,roll,0.5,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,1 small bucket,,,,,,,
,Shanta,,1 large bucket,,,,,,,
,Manos,,.5 bag,,,,,,,
,Decaf,,.5 bag/full hopper ,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
5/1/25,MILKS,,,,,,,,,
,Whole Milk,,5,,,,,,,
,Low-Fat,,11,,,,,,,
,Half n Half,,4,,,,,,,
,Heavy Cream,,2,,,,,,,
,Oat,,9,,,,,,,
,Almond,,45,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,3.5,,,,,,,
,Vanilla Creme,bottle,5,,,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,5,,,,,,,
,Pistachio,bottle,2,,,,,,,
,Vanilla ,bottle,3,,,,,,,
,Sugar Free Vanilla,bottle,1.5,,,,,,,
,Honey,Bottle,5,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,1,,,,,,,
,Gingerbread,bottle,,,,,,,,
,Chocolate,,,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,0.5,,,,,,,
,Chai Masala,bottle,3,,,,,,,
,Turmeric Ginger,carton,21,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,0.25,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,1.5,,,,,,,
,"Chai, caffeine free",bag,1,,,,,,,
,Chamomint,bag,1.5,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1.25,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Cane Sugar Bulk,Bag,0.5,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,OUT,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,1,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,8,,,,,,,
,Cold 12-14 oz Cups,Sleeve,14,,,,,,,
,Cold Lids,Sleeve,13,,,,,,,
,Hot 12 oz Cups,sleeve,17,,,,,,,
,Hot 12-24oz Lids,sleeve,13,,,,,,,
,Hot 8oz Cups,sleeve,18,,,,,,,
,Hot 8oz Lids,Sleeve,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,13,,,,,,,
,San Pellegrino Cans,Cans,4,,,,,,,
,Fiji Small,Bottles,20,,,,,,,
,Fiji Large,individual,11,,,,,,,
,Lychee Soda,can,12,,,,,,,
,Lychee,12-pack,1,,,,,,,
,Yuzu Ginger Soda,can,36,,,,,,,
,Hibiscus Rose Soda,can,14,,,,,,,
,Cucumber Soda,can,15,,,,,,,
,Gato Pistachios,,8,,,,,,,
,Gato Walnut,,13,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,13,,,,,,,
,Macaroon,individual,10,,,,,,,
,Chia - strawberry,,,,,,,,,
,Chia- tramisu,,,,,,,,,
,Chia- passion fruit,,,,,,,,,
,Chia- blue,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0,,,,,,,
,Chocolate ,,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,6,,,,,,,
,Cucumber,,3,,,,,,,
,Tomato,,6,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,2,,,,,,,
,Peanut Butter,64oz,2.5,,,,,,,
,Bread,Loaf,0.25,,,,,,,
,Lemon Juice,bottle,0.75,,,,,,,
,Hot sauce,,3,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,5,,,,,,,
,Gloves M,Box,1,,,,,,,
,Gloves Large,Box,4,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,2,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,2,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,4,,,,,,,
,Grindz,,5,,,,,,,
,Pink Sanitizer,,0.25,,,,,,,
,Thieves Solution,,1/2,,,,,,,
,Detergent,,,,,,,,,
,3 fold napkins,roll,7,,,,,,,
,Paper Towel,roll,OUT,,,,,,,
,Toilet Paper,roll,48,,,,,,,
,Toilet seat cover,box,5,,,,,,,
,Febreze,,OUT,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,148,,,,,,,
,Plastic knives,Box,LOW,,,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,1/2,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,bag,1/2,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,LOW,,,,,,,
,Stickers,roll,0.5,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,1 small bucket,,,,,,,
,Shanta,,1 large bucket,,,,,,,
,Manos,,.5 bag,,,,,,,
,Decaf,,.5 bag/full hopper ,,,,,,,
5/2/25,MILKS,,,,,,,,,
,Whole Milk,,9,,,,,,,
,Low-Fat,,12,,,,,,,
,Half n Half,,5,,,,,,,
,Heavy Cream,,5,,,,,,,
,Oat,,57,,,,,,,
,Almond,,42,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,6,,,,,,,
,Vanilla Creme,bottle,6,,,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,5,,,,,,,
,Pistachio,bottle,0,,,,,,,
,Vanilla ,bottle,3,,,,,,,
,Sugar Free Vanilla,bottle,1.5,,,,,,,
,Honey,Bottle,5,,,,,,,
,Irish Cream,bottle,1,,,,,,,
